 Origin, Destination,Cabin,Booking Class, Booking Class Fare USD ,Airline,Flight number,Dep_Date,Dep_time
BBB,DDD,Y,S,90.92,AA,306,2023-10-02, 06:05
BBB,DDD,Y,G,179.8,AA,306,2023-10-02, 06:05
BBB,DDD,Y,N,209.1,AA,306,2023-10-02, 06:05
BBB,DDD,Y,T,136.38,AA,306,2023-10-02, 06:05
BBB,DDD,Y,B,645.47,AA,306,2023-10-02, 06:05
BBB,DDD,Y,H,463.65,AA,306,2023-10-02, 06:05
BBB,DDD,Y,Y,736.38,AA,306,2023-10-02, 06:05
BBB,DDD,Y,L,327.29,AA,306,2023-10-02, 06:05
BBB,DDD,Y,M,155.66,AA,306,2023-10-02, 06:05
BBB,DDD,Y,Q,154.56,AA,306,2023-10-02, 06:05
BBB,DDD,Y,W,554.56,AA,306,2023-10-02, 06:05
BBB,DDD,J,D,413.88,AA,306,2023-10-02, 06:05
BBB,DDD,Y,E,245.47,AA,306,2023-10-02, 06:05
BBB,DDD,Y,R,281.83,AA,306,2023-10-02, 06:05
BBB,DDD,Y,K,372.74,AA,306,2023-10-02, 06:05
BBB,DDD,Y,I,109.1,AA,306,2023-10-02, 06:05
BBB,DDD,Y,V,190.92,AA,306,2023-10-02, 06:05
BBB,DDD,Y,O,227.29,AA,306,2023-10-02, 06:05
BBB,DDD,J,J,836.38,AA,306,2023-10-02, 06:05
BBB,DDD,J,C,572.74,AA,306,2023-10-02, 06:05
BBB,DDD,Y,P,172.74,AA,306,2023-10-02, 06:05
BBB,DDD,Y,I,109.1,AA,306,2023-10-03, 06:05
BBB,DDD,Y,S,90.92,AA,306,2023-10-03, 06:05
BBB,DDD,Y,H,463.65,AA,306,2023-10-03, 06:05
BBB,DDD,Y,N,218.2,AA,306,2023-10-03, 06:05
BBB,DDD,Y,T,136.38,AA,306,2023-10-03, 06:05
BBB,DDD,Y,G,179.8,AA,306,2023-10-03, 06:05
BBB,DDD,Y,P,172.74,AA,306,2023-10-03, 06:05
BBB,DDD,Y,V,190.92,AA,306,2023-10-03, 06:05
BBB,DDD,J,C,600.01,AA,306,2023-10-03, 06:05
BBB,DDD,Y,B,645.47,AA,306,2023-10-03, 06:05
BBB,DDD,Y,O,245.47,AA,306,2023-10-03, 06:05
BBB,DDD,Y,E,263.65,AA,306,2023-10-03, 06:05
BBB,DDD,Y,K,400.01,AA,306,2023-10-03, 06:05
BBB,DDD,J,D,452.59,AA,306,2023-10-03, 06:05
BBB,DDD,Y,Q,154.56,AA,306,2023-10-03, 06:05
BBB,DDD,J,J,836.38,AA,306,2023-10-03, 06:05
BBB,DDD,Y,W,554.56,AA,306,2023-10-03, 06:05
BBB,DDD,Y,M,158.58,AA,306,2023-10-03, 06:05
BBB,DDD,Y,L,336.38,AA,306,2023-10-03, 06:05
BBB,DDD,Y,Y,736.38,AA,306,2023-10-03, 06:05
BBB,DDD,Y,R,290.92,AA,306,2023-10-03, 06:05
BBB,DDD,Y,N,218.2,AA,306,2023-11-03, 06:05
BBB,DDD,Y,T,136.38,AA,306,2023-11-03, 06:05
BBB,DDD,Y,G,179.8,AA,306,2023-11-03, 06:05
BBB,DDD,Y,B,645.47,AA,306,2023-11-03, 06:05
BBB,DDD,Y,H,463.65,AA,306,2023-11-03, 06:05
BBB,DDD,Y,Y,736.38,AA,306,2023-11-03, 06:05
BBB,DDD,Y,L,336.38,AA,306,2023-11-03, 06:05
BBB,DDD,Y,M,158.58,AA,306,2023-11-03, 06:05
BBB,DDD,Y,S,90.92,AA,306,2023-11-03, 06:05
BBB,DDD,Y,Q,154.56,AA,306,2023-11-03, 06:05
BBB,DDD,J,D,452.59,AA,306,2023-11-03, 06:05
BBB,DDD,Y,W,554.56,AA,306,2023-11-03, 06:05
BBB,DDD,Y,R,290.92,AA,306,2023-11-03, 06:05
BBB,DDD,Y,E,263.65,AA,306,2023-11-03, 06:05
BBB,DDD,Y,K,400.01,AA,306,2023-11-03, 06:05
BBB,DDD,Y,V,190.92,AA,306,2023-11-03, 06:05
BBB,DDD,Y,I,109.1,AA,306,2023-11-03, 06:05
BBB,DDD,Y,O,245.47,AA,306,2023-11-03, 06:05
BBB,DDD,J,J,836.38,AA,306,2023-11-03, 06:05
BBB,DDD,Y,P,172.74,AA,306,2023-11-03, 06:05
BBB,DDD,J,C,600.01,AA,306,2023-11-03, 06:05
BBB,DDD,Y,Y,736.38,AA,306,2023-10-05, 06:05
BBB,DDD,J,J,836.38,AA,306,2023-10-05, 06:05
BBB,DDD,Y,P,172.74,AA,306,2023-10-05, 06:05
BBB,DDD,Y,W,554.56,AA,306,2023-10-05, 06:05
BBB,DDD,J,D,395.76,AA,306,2023-10-05, 06:05
BBB,DDD,Y,Q,154.56,AA,306,2023-10-05, 06:05
BBB,DDD,Y,K,400.01,AA,306,2023-10-05, 06:05
BBB,DDD,Y,E,263.65,AA,306,2023-10-05, 06:05
BBB,DDD,Y,R,290.92,AA,306,2023-10-05, 06:05
BBB,DDD,Y,L,336.38,AA,306,2023-10-05, 06:05
BBB,DDD,Y,S,76.95,AA,306,2023-10-05, 06:05
BBB,DDD,Y,M,153.25,AA,306,2023-10-05, 06:05
BBB,DDD,Y,G,179.8,AA,306,2023-10-05, 06:05
BBB,DDD,Y,T,136.38,AA,306,2023-10-05, 06:05
BBB,DDD,Y,N,218.2,AA,306,2023-10-05, 06:05
BBB,DDD,Y,H,463.65,AA,306,2023-10-05, 06:05
BBB,DDD,Y,B,645.47,AA,306,2023-10-05, 06:05
BBB,DDD,Y,O,245.47,AA,306,2023-10-05, 06:05
BBB,DDD,Y,I,104.56,AA,306,2023-10-05, 06:05
BBB,DDD,Y,V,190.92,AA,306,2023-10-05, 06:05
BBB,DDD,J,C,600.01,AA,306,2023-10-05, 06:05
BBB,DDD,Y,Y,736.38,AA,306,2023-11-05, 06:05
BBB,DDD,J,J,836.38,AA,306,2023-11-05, 06:05
BBB,DDD,Y,I,104.56,AA,306,2023-11-05, 06:05
BBB,DDD,Y,V,190.92,AA,306,2023-11-05, 06:05
BBB,DDD,J,C,600.01,AA,306,2023-11-05, 06:05
BBB,DDD,Y,P,172.74,AA,306,2023-11-05, 06:05
BBB,DDD,Y,B,645.47,AA,306,2023-11-05, 06:05
BBB,DDD,Y,O,245.47,AA,306,2023-11-05, 06:05
BBB,DDD,Y,Q,154.56,AA,306,2023-11-05, 06:05
BBB,DDD,Y,K,400.01,AA,306,2023-11-05, 06:05
BBB,DDD,Y,W,554.56,AA,306,2023-11-05, 06:05
BBB,DDD,J,D,395.76,AA,306,2023-11-05, 06:05
BBB,DDD,Y,S,76.95,AA,306,2023-11-05, 06:05
BBB,DDD,Y,E,263.65,AA,306,2023-11-05, 06:05
BBB,DDD,Y,R,290.92,AA,306,2023-11-05, 06:05
BBB,DDD,Y,L,336.38,AA,306,2023-11-05, 06:05
BBB,DDD,Y,N,218.2,AA,306,2023-11-05, 06:05
BBB,DDD,Y,H,463.65,AA,306,2023-11-05, 06:05
BBB,DDD,Y,M,153.25,AA,306,2023-11-05, 06:05
BBB,DDD,Y,G,179.8,AA,306,2023-11-05, 06:05
BBB,DDD,Y,T,136.38,AA,306,2023-11-05, 06:05
BBB,DDD,Y,Y,736.38,AA,306,2023-12-05, 06:05
BBB,DDD,J,J,836.38,AA,306,2023-12-05, 06:05
BBB,DDD,Y,O,245.47,AA,306,2023-12-05, 06:05
