 Origin, Destination,Cabin,Booking Class,Booking Class Fare USD,Airline,Flight number,Dep_Date,Dep_time
BBB,DDD,Y,T,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,N,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,L,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,Q,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,E,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,R,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,V,,AA,306,2023-10-02, 06:05
BBB,DDD,J,C,,AA,306,2023-10-02, 06:05
BBB,DDD,Y,E,,AA,306,2023-10-03, 06:05
BBB,DDD,Y,K,,AA,306,2023-10-03, 06:05
BBB,DDD,Y,Q,,AA,306,2023-10-03, 06:05
BBB,DDD,Y,N,,AA,306,2023-11-03, 06:05
BBB,DDD,Y,T,,AA,306,2023-11-03, 06:05
BBB,DDD,Y,R,,AA,306,2023-11-03, 06:05
BBB,DDD,Y,E,,AA,306,2023-11-03, 06:05
BBB,DDD,Y,V,,AA,306,2023-11-03, 06:05
BBB,DDD,Y,I,,AA,306,2023-11-03, 06:05
BBB,DDD,J,J,,AA,306,2023-11-03, 06:05
BBB,DDD,Y,P,,AA,306,2023-10-05, 06:05
BBB,DDD,J,J,,AA,306,2023-10-05, 06:05
BBB,DDD,Y,T,,AA,306,2023-10-05, 06:05
BBB,DDD,Y,O,,AA,306,2023-11-05, 06:05
BBB,DDD,Y,R,,AA,306,2023-11-05, 06:05
BBB,DDD,Y,L,,AA,306,2023-11-05, 06:05
BBB,DDD,Y,N,,AA,306,2023-11-05, 06:05
BBB,DDD,Y,Z,,AA,306,2023-11-05, 06:05
BBB,DDD,Y,Q,,AA,306,2023-10-06, 06:05
BBB,DDD,Y,B,,AA,306,2023-10-06, 06:05
BBB,DDD,Y,V,,AA,306,2023-12-06, 06:05
BBB,DDD,Y,P,,AA,306,2023-12-06, 06:05
BBB,DDD,Y,Q,,AA,306,2023-12-06, 06:05
BBB,DDD,Y,X,,AA,306,2023-12-06, 06:05
