Origin,Destination,Cabin,Booking Class,Booking Class Fare USD,Airline,Flight number,Dep_Date,Dep_time,match_key,overbooking,no_show,denied_boarding,cancellation
BBB,DDD,Y,S,90.92,AA,306,2023-10-02, 06:05,BBB_DDD_Y_S_AA_306_2023-10-02_ 06:05,0.17135081473974154,0.10468808776252188,0.0034270162947948307,0.06634113867018018
BBB,DDD,Y,G,179.8,AA,306,2023-10-02, 06:05,BBB_DDD_Y_G_AA_306_2023-10-02_ 06:05,0.1627832958029107,0.10333174734181817,0.003255665916058214,0.0591460395284909
BBB,DDD,Y,N,209.1,AA,306,2023-10-02, 06:05,BBB_DDD_Y_N_AA_306_2023-10-02_ 06:05,0.160456833440011,0.0965779981768189,0.00320913666880022,0.06357769259575123
BBB,DDD,Y,T,136.38,AA,306,2023-10-02, 06:05,BBB_DDD_Y_T_AA_306_2023-10-02_ 06:05,0.19613847235658974,0.1233358383742842,0.003922769447131795,0.07243452461926418
BBB,DDD,Y,B,645.47,AA,306,2023-10-02, 06:05,BBB_DDD_Y_B_AA_306_2023-10-02_ 06:05,0.0708645156139661,0.04087964122919461,0.001417290312279322,0.02985187706205622
BBB,DDD,Y,H,463.65,AA,306,2023-10-02, 06:05,BBB_DDD_Y_H_AA_306_2023-10-02_ 06:05,0.09463551210335777,0.04857972268010168,0.0018927102420671555,0.04587817909692437
BBB,DDD,Y,Y,736.38,AA,306,2023-10-02, 06:05,BBB_DDD_Y_Y_AA_306_2023-10-02_ 06:05,0.06761418052743431,0.04466131263180519,0.0013522836105486864,0.022825970746755304
BBB,DDD,Y,L,327.29,AA,306,2023-10-02, 06:05,BBB_DDD_Y_L_AA_306_2023-10-02_ 06:05,0.11513394792432124,0.060952190121466,0.002302678958486425,0.053965676359344246
BBB,DDD,Y,M,155.66,AA,306,2023-10-02, 06:05,BBB_DDD_Y_M_AA_306_2023-10-02_ 06:05,0.13278541585755665,0.07219545067678992,0.002655708317151133,0.06034075576119075
BBB,DDD,Y,Q,154.56,AA,306,2023-10-02, 06:05,BBB_DDD_Y_Q_AA_306_2023-10-02_ 06:05,0.1536247632779285,0.07716609105538694,0.00307249526555857,0.07617035186867033
BBB,DDD,Y,W,554.56,AA,306,2023-10-02, 06:05,BBB_DDD_Y_W_AA_306_2023-10-02_ 06:05,0.15920390261203324,0.08792817306856444,0.003184078052240665,0.07097693835538578
BBB,DDD,J,D,413.88,AA,306,2023-10-02, 06:05,BBB_DDD_J_D_AA_306_2023-10-02_ 06:05,0.12831021892053762,0.07861101352291744,0.0025662043784107527,0.049458394951861946
BBB,DDD,Y,E,245.47,AA,306,2023-10-02, 06:05,BBB_DDD_Y_E_AA_306_2023-10-02_ 06:05,0.13018942284978688,0.07799997246110289,0.002603788456995738,0.051945113084818244
BBB,DDD,Y,R,281.83,AA,306,2023-10-02, 06:05,BBB_DDD_Y_R_AA_306_2023-10-02_ 06:05,0.14339488651818832,0.09307988514221689,0.0028678977303637668,0.05004588028154571
BBB,DDD,Y,K,372.74,AA,306,2023-10-02, 06:05,BBB_DDD_Y_K_AA_306_2023-10-02_ 06:05,0.11360055414922046,0.07381337056630988,0.0022720110829844093,0.03957397998686652
BBB,DDD,Y,I,109.1,AA,306,2023-10-02, 06:05,BBB_DDD_Y_I_AA_306_2023-10-02_ 06:05,0.1203522441463886,0.07118140157737224,0.0024070448829277722,0.048944967515534864
BBB,DDD,Y,V,190.92,AA,306,2023-10-02, 06:05,BBB_DDD_Y_V_AA_306_2023-10-02_ 06:05,0.18407082897204805,0.11238896562618354,0.0036814165794409608,0.07133640233154497
BBB,DDD,Y,O,227.29,AA,306,2023-10-02, 06:05,BBB_DDD_Y_O_AA_306_2023-10-02_ 06:05,0.12345468031656785,0.06980739428018964,0.002469093606331357,0.05341558838323658
BBB,DDD,J,J,836.38,AA,306,2023-10-02, 06:05,BBB_DDD_J_J_AA_306_2023-10-02_ 06:05,0.041472818121064896,0.021317122688281905,0.000829456362421298,0.020077859950133167
BBB,DDD,J,C,572.74,AA,306,2023-10-02, 06:05,BBB_DDD_J_C_AA_306_2023-10-02_ 06:05,0.11477288736413914,0.07717521186343441,0.002295457747282783,0.03738227168953799
BBB,DDD,Y,P,172.74,AA,306,2023-10-02, 06:05,BBB_DDD_Y_P_AA_306_2023-10-02_ 06:05,0.13085032753437484,0.08432394199458995,0.0026170065506874968,0.04628080786120045
BBB,DDD,Y,I,109.1,AA,306,2023-10-03, 06:05,BBB_DDD_Y_I_AA_306_2023-10-03_ 06:05,0.112097613532967,0.07011735028227685,0.00224195227065934,0.04176988034814028
BBB,DDD,Y,S,90.92,AA,306,2023-10-03, 06:05,BBB_DDD_Y_S_AA_306_2023-10-03_ 06:05,0.16649679959698738,0.09057022951996507,0.003329935991939748,0.07561409170339328
BBB,DDD,Y,H,463.65,AA,306,2023-10-03, 06:05,BBB_DDD_Y_H_AA_306_2023-10-03_ 06:05,0.09094414910554884,0.05346712050004452,0.0018188829821109767,0.037306346166728524
